Covidence #,Study ID,Title,Reviewer Name,Study ID,Title,List of authors,Type of publication,Country in which the study conducted,Year published,Study design,"Authors use the term ""digital twin"" ",Application domain,What is the purpose of the Digital twin,Level of maturity,Architecture of the Digital Twin
949,Ricci 2022,Pervasive and Connected Digital Twins - A Vision for Digital Health.,,949,Pervasive and Connected Digital Twins—A Vision for Digital Health,"Ricci, A; Croatti, A.; Montagna, S.",journal paper,Other: Italy,2022,Systematic review,Yes,Other: Trauma,"The authors propose the vision regarding the use of DT as-an-application perspective to virtualize context and situations involving multiple related strategic assets of a health organization. 
They also mentioned the use of DT in trauma management (TraumaTracker) where shadowing (coupling between a physical asset and its DT) occurs to collect real-time data for personalized diagnosis and improve data-driven decision making by combining the predictive power of simulation and machine learning.",concept or idea,layered
947,Hussain 2022,An Attention-Based ResNet Architecture for Acute Hemorrhage Detection and Classification: Toward a Health 4.0 Digital Twin Study.,,947,An Attention-Based ResNet Architecture for Acute Hemorrhage Detection and Classification: Toward a Health 4.0 Digital Twin Study,"Hussain, A.; Yaseen, M.U.; Imran, M.; Waqar, M.; Akhunzada, A.; Ja'afreh, M.; El-Saddik, A.",journal paper,Other,2022,Proof-of-concept,Yes,General (no specific application domain is given),"Develop an attention-based ResNet architecture for acute hemorrhage detection and classification, contributing to the advancement of Health 4.0 and the implementation of digital twin technology in healthcare.",research result,Not listed
946,Chen 2023,Networking Technologies for Enabling Human Digital Twin in Personalized Healthcare Applications: A Comprehensive Survey.,,946,Networking Architecture and Key Technologies for Human Digital Twin in Personalized Healthcare: A Comprehensive Survey,"Chen, J.; Yi, C.; Okegbile, S.; Cai, J.; Shen, X.",white paper,Other: N/A,2023,Systematic review,Yes,general medicine/internal medicine; cardiology; respiratory; neurology,"DT is used to montoring molecular status, physiological status, emotional and psychological status.
Alsoe is being used for remotely montoring patient, diagonisis, prescription, surgery and rehabilitation.",proof of concept prototype,layered; microservice
858,Chen 2022,Rapid Progress in Intelligent Radiotherapy and Future Implementation.,,858,Rapid Progress in Intelligent Radiotherapy and Future Implementation,"Chen, G.; Cui, J.; Qian, J.; Zhu, J.; Zhao, L.; Luo, B.; Cui, T.; Zhong L.; Yang, F.; Yang, G.; Zhao, X.; Zhou, Y.; Geng, M.; Sun, J.",journal paper,China,2022,Systematic review,Other: ,general medicine/internal medicine; musculoskeletal; Other: Canter treatment,"3D visualisation, data analysis from image data (CT, MRI, etc), automatically create and plan a personalised radiotherapy treatment, predicting and monitoring the current condition with QA & QC, ",research in progress,Not listed
855,Berti 2022,Reliable Numerical Models of Nickel-Titanium Stents: How to Deduce the Specific Material Properties from Testing Real Devices.,,855,"Reliable Numerical Models of Nickel-Titanium Stents: How to Deduce
the Specific Material Properties from Testing Real Devices","Berti,F.;Bridio,S.;Luraghi,G.;Pant,S.;Allegretti,D.;Pennati,G.;Petrini,L.;",journal paper,EU (other than Germany/France); Other: UK,2022,Systematic review,Yes,Not listed; Other: assessment of Nickel-Titanium material properties,"digital twins are intended to be used to enhance the understanding and analysis of nickel titanium stent behaviors; Through performance prediction, materiel property analysis, failure analysis, and further virtual testing and optimizations",proof of concept prototype,microservice; Other: service oriented architecture 
803,Appl 2021,Digital Twins for Bioprocess Control Strategy Development and Realisation.,,803,Digital Twins for bioprocess control strategy development and realisation,"Appl, Ch.; Moser, A.; Baganz, F.; Hass, V.C.",book chapter,Germany; EU (other than Germany/France),2021,Case study,Yes,General (no specific application domain is given),"control strategy for bioprocesses, optimization",proof of concept prototype,layered; Other: shell model with a set of specialised sub-models open-loop-feedback-optimal control strategy
777,Kandil 2023,A Microstructure-Based Mechanistic Approach to Detect Degeneration Effects on Potential Damage Zones and Morphology of Young and Old Human Intervertebral Discs.,,777,A Microstructure‑Based Mechanistic Approach to Detect Degeneration Effects on Potential Damage Zones and Morphology of Young and Old Human Intervertebral Discs,"Kandil, K.; Zaïri, F.",journal paper,France,2023,Proof-of-concept,"Other: Microstructure-based mechanistic approach, numerical model",musculoskeletal,The authors propose the use of DT in the development of a predictive model on detecting the degeneration on potential damage areas and morphology of young and old human intervertebral discs. The model was tested and resulted in accurate mappings and was capable of demonstrating numerically for the first time at the scale of a complete disc,research result,Not listed
745,Hernigou 2022,Subtalar axis determined by combining digital twins and artificial intelligence: influence of the orientation of this axis for hindfoot compensation of varus and valgus knees.,,745,"Subtalar axis determined by combining digital twins and artificial 
intelligence: influence of the orientation of this axis for hindfoot 
compensation of varus and valgus knees","Hernigou,P.;  Safar,A.; Hernigou,J.; Ferre,B.;",white paper,France; EU (other than Germany/France); Other: Monano,2022,Proof-of-concept,Yes,musculoskeletal,used to determine the axis of the subtalar axis,research result,Not listed
744,Basu 2022,Biomaterialomics: Data science-driven pathways to develop fourth-generation biomaterials.,,744,Biomaterialomics: Data science-driven pathways to develop fourth-generation biomaterials,"Basu, B.; Gowtham, N.H.; Xiao, Y.; Kalidindi, S.; Leong, K.",journal paper,US,2021,Systematic review,Other: Biomaterialomics,cardiology; endocrine; musculoskeletal; surgery; Other: Dentistry ,"Using DT for predicting condition aand pre-clinical/clinical study, Biomaterials Development, Biocompatibility, Modelling, Data Mining and E-Platform",research in progress,layered; microservice
708,Gonsard 2023,Children's views on artificial intelligence and digital twins for the daily management of their asthma: a mixed-method study.,,708,Children’s views on artificial intelligence and digital twins for the daily management of their asthma: a mixed‑method study,"Gonsard, A.; AbouTaam, R.; Prévost, B.; Roy, C.; Hadchouel, A.; Nathan, N.; Taytard, J.; Pirojoc, A.; Delacourt, C.; Wanin, S.; Drummond, D.",journal paper,France,2022,Case study,Yes,Other: Paediatrics  (asthma),"The authors suggested using DTs in supporting the management children's (aged 8 to 17) asthma from home and in real time. They assessed whether the children with asthma would be ready to utilise DTs, and the result was that 93% are likely to choose DT if it was more effective and the rest would prefer physician–patient relationships",research result,Not listed
